t,U,Phy_modificado,theta_modificado
"25,01","0,00","0,000",0
"25,02","0,00","0,000",0
"25,03","0,00","0,000",0
"25,04","0,00","0,000",0
"25,05","0,00","0,000",0
"25,06","0,00","0,000",0
"25,07","0,00","0,000",0
"25,08","0,00","0,000",0
"25,09","0,00","0,000",0
"25,10","0,00","0,000",0
"25,11","0,00","0,000",0
"25,12","0,00","0,000",0
"25,13","0,00","0,000",0
"25,14","0,00","0,000",0
"25,15","0,00","0,000",0
"25,16","0,00","0,000",0
"25,17","0,00","0,000",0
"25,18","0,00","0,000",0
"25,19","0,00","0,000",0
"25,20","0,00","0,000",0
"25,21","0,00","0,000",0
"25,22","0,00","0,000",0
"25,23","0,00","0,000",0
"25,24","0,00","0,000",0
"25,25","0,00","0,000",0
"25,26","20,00","0,000",0
"25,27","20,00","0,000",0
"25,28","20,00","0,000","0,08755820833"
"25,29","20,00","0,370","0,4440014083"
"25,30","20,00","1,228","0,3430757083"
"25,31","20,00","2,085","0,05909380833"
"25,32","20,00","3,228","-0,6790260817"
"25,33","20,00","4,942","-1,754793712"
"25,34","20,00","6,370","-3,026941892"
"25,35","20,00","7,799","-4,329276392"
"25,36","20,00","9,228","-5,591001792"
"25,37","20,00","10,370","-6,756300792"
"25,38","20,00","11,799","-7,686884192"
"25,39","20,00","12,656","-8,409904792"
"25,40","20,00","13,799","-8,919033392"
"25,41","20,00","14,656","-9,221873592"
"25,42","20,00","15,799","-9,358417792"
"25,43","20,00","16,656","-9,419842092"
"25,44","20,00","17,513","-9,398754392"
"25,45","20,00","18,370","-9,334172592"
"25,46","20,00","19,228","-9,246937092"
"25,47","20,00","20,085","-8,940236392"
"25,48","20,00","20,656","-8,475190492"
"25,49","20,00","20,942","-7,866924092"
"25,50","20,00","21,228","-7,006128192"
"25,51","20,00","20,942","-6,022775492"
"25,52","20,00","20,942","-4,778907092"
"25,53","20,00","20,942","-3,284666392"
"25,54","20,00","20,656","-1,691523502"
"25,55","20,00","20,656","-0,1265695917"
"25,56","20,00","20,656","1,375919008"
"25,57","20,00","20,370","2,807753208"
"25,58","20,00","20,370","4,154000408"
"25,59","20,00","20,370","5,431517308"
"25,60","20,00","20,085","6,644190908"
"25,61","20,00","20,370","7,789936708"
"25,62","20,00","20,085","8,874306908"
"25,63","20,00","20,085","9,881154908"
"25,64","20,00","19,799","10,79683191"
"25,65","20,00","19,799","11,61895491"
"25,66","20,00","20,085","12,31898491"
