t,U,Phy_modificado,theta_modificado
"36,61","-20,00","-17,344",0
"36,62","-20,00","-17,344",0
"36,63","-20,00","-17,344",0
"36,64","-20,00","-17,344",0
"36,65","-20,00","-17,344",0
"36,66","-20,00","-17,344",0
"36,67","-20,00","-17,344",0
"36,68","-20,00","-17,344",0
"36,69","-20,00","-17,344",0
"36,70","-20,00","-17,344",0
"36,71","-20,00","-17,344",0
"36,72","-20,00","-17,344",0
"36,73","-20,00","-17,344",0
"36,74","-20,00","-17,344",0
"36,75","-20,00","-17,344",0
"36,76","-20,00","-17,344",0
"36,77","-20,00","-17,344",0
"36,78","-20,00","-17,344",0
"36,79","-20,00","-17,344",0
"36,80","-20,00","-17,344",0
"36,81","-20,00","-17,344",0
"36,82","-20,00","-17,344",0
"36,83","-20,00","-17,344",0
"36,84","-20,00","-17,344",0
"36,85","-20,00","-17,344",0
"36,86","-20,00","-17,344",0
"36,87","-20,00","-17,344",0
"36,88","-20,00","-17,344",0
"36,89","-20,00","-17,344",0
"36,90","-20,00","-17,344",0
"36,91","-20,00","-17,344",0
"36,92","-20,00","-17,344",0
"36,93","-20,00","-17,344",0
"36,94","-20,00","-17,344",0
"36,95","-20,00","-17,344",0
"36,96","-20,00","-17,344",0
"36,97","-20,00","-17,344",0
"36,98","-20,00","-17,344",0
"36,99","-20,00","-17,344",0
"37,00","-20,00","-17,344",0
"37,01","-20,00","-17,344",0
"37,02","-20,00","-17,344",0
"37,03","-20,00","-17,344",0
"37,04","-20,00","-17,344",0
"37,05","-20,00","-17,344",0
"37,06","-20,00","-17,344",0
"37,07","-20,00","-17,344",0
"37,08","-20,00","-17,344",0
"37,09","-20,00","-17,344",0
"37,10","-20,00","-17,344",0
"37,11","-20,00","-17,344",0
"37,12","-20,00","-17,344",0
"37,13","-20,00","-17,344",0
"37,14","-20,00","-17,344",0
"37,15","-20,00","-17,344",0
"37,16","-20,00","-17,344",0
"37,17","-20,00","-17,344",0
"37,18","-20,00","-17,344",0
"37,19","-20,00","-17,344",0
"37,20","-20,00","-17,344",0
"37,21","0,00","-17,344",0
"37,22","0,00","-17,344",0
"37,23","0,00","-17,344","0,1528784083"
"37,24","0,00","-16,487","0,5990726083"
"37,25","0,00","-15,058","0,9904572083"
"37,26","0,00","-14,201","0,5337490083"
"37,27","0,00","-12,487","-1,077949712"
"37,28","0,00","-11,058","-2,771071792"
"37,29","0,00","-10,487","-3,794517592"
"37,30","0,00","-8,487","-4,470818792"
"37,31","0,00","-7,344","-5,593091292"
"37,32","0,00","-6,201","-6,775189192"
"37,33","0,00","-5,344","-7,615087292"
"37,34","0,00","-3,915","-7,832661492"
"37,35","0,00","-3,058","-8,198758892"
"37,36","0,00","-2,487","-8,764797492"
"37,37","0,00","-1,630","-9,458857892"
"37,38","0,00","-1,630","-9,450122192"
"37,39","0,00","-1,344","-8,556309092"
"37,40","0,00","-1,344","-7,600985392"
"37,41","0,00","-1,058","-6,963919492"
"37,42","0,00","-1,058","-6,579141492"
"37,43","0,00","-1,058","-5,674230392"
"37,44","0,00","-1,058","-4,366485392"
"37,45","0,00","-0,772","-3,202465892"
"37,46","0,00","-0,772","-2,361292892"
